video_id,RU1,RU2,RU3,RU4,RU5,RU6,LU1,LU2,LU3,LU4,LU5,LU6,RD1,RD2,RD3,RD4,RD5,RD6,LD1,LD2,LD3,LD4,LD5,LD6
video026_006.csv,0.298594306,0.644149884,0.743148673,0.740131284,0.723537054,0.369148299,0.31757365,0.693619125,0.772606745,0.805528631,0.830123766,0.435341078,0.078305548,0.446220192,0.361401807,0.315151369,0.261356548,0.056451563,0.111140675,0.546247783,0.432003052,0.390466555,0.344305908,0.130294961
video026_006flip.csv,0.276920001,0.613233641,0.739558563,0.743255756,0.760064652,0.452517033,0.236001487,0.571876522,0.75652802,0.745604093,0.751467636,0.396004216,0.043865353,0.531670181,0.508218872,0.461552604,0.43168308,0.125416764,0.103954694,0.412855311,0.456794416,0.438407287,0.412820955,0.030960267
video026_007.csv,0.297238893,0.664853056,0.769376133,0.765038753,0.741950316,0.476047296,0.239014563,0.682399873,0.792054556,0.800876445,0.808774166,0.508492699,0.091790099,0.506165692,0.435431482,0.38401165,0.314873259,0.001699965,0.118475949,0.599468775,0.482321951,0.393928674,0.304046824,0.060012583
video026_007flip.csv,0.253348958,0.68218442,0.772103031,0.781257738,0.790223125,0.491152261,0.330600506,0.662300186,0.782062501,0.79757003,0.794363563,0.463171457,0.162426795,0.622977038,0.551852058,0.525679175,0.447591599,0.053340801,0.110094457,0.536335318,0.499842519,0.465650384,0.402950066,0.044783312
video026_008.csv,0.084834332,0.435184433,0.739861216,0.737954782,0.744152567,0.486403199,0.343189708,0.628562181,0.898412021,0.834962903,0.841046294,0.666732785,0.147382567,0.555051719,0.571017192,0.530943115,0.508976904,0.027462443,0.184110217,0.60984992,0.673816583,0.618469812,0.578062179,0.041470672
video026_008flip.csv,0.113239611,0.517258953,0.753296973,0.762751739,0.768880394,0.48528805,0.385205218,0.627983291,0.84840553,0.847966837,0.846793365,0.622572729,0.225320167,0.691044796,0.671928875,0.613666646,0.563466826,0.034178246,0.182447494,0.611583973,0.540551308,0.521147215,0.501762723,0.025486887
video026_009.csv,0.206794197,0.593361442,0.755887133,0.745985261,0.749995024,0.445847211,0.249999193,0.640546155,0.778192526,0.79762715,0.809880093,0.512009287,0.431825479,0.686799301,0.408849655,0.364709656,0.309479679,0.044558268,0.488830424,0.663013015,0.429473208,0.387217011,0.319301447,0.037027197
video026_009flip.csv,0.255151777,0.662353496,0.757730235,0.776846298,0.791874769,0.562693331,0.203259999,0.595460822,0.788930335,0.787962493,0.771316764,0.497340627,0.495923486,0.69203513,0.506203415,0.458377434,0.400723674,0.021599155,0.435931008,0.629809271,0.456391788,0.405807971,0.343200627,0.045792238
video027_001.csv,0.248581739,0.449721175,0.566219098,0.568920573,0.560666282,0.459902549,0.204844739,0.404638062,0.528577054,0.535438842,0.530567977,0.434888629,0.151035675,0.290091514,0.521834942,0.50429967,0.489548748,0.120293665,0.202048658,0.337005289,0.547577842,0.511297539,0.481043393,0.137281733
video027_001flip.csv,0.17588156,0.389232594,0.50422634,0.526686622,0.522735364,0.467700466,0.222516533,0.426963544,0.530692149,0.530816627,0.529791036,0.451666242,0.201222188,0.339114542,0.541214757,0.540136354,0.534568389,0.176677771,0.169187698,0.292237732,0.521675588,0.524514369,0.516161983,0.169126271
